utterance_id,language,language_code,mode,length_group,filename,relative_path,sample_rate,duration_sec,mean_rms,mean_f0_hz,median_f0_hz,std_f0_hz,f0_range_hz,voiced_frames
fr_03,French,fr,speech,short,Fr-speak-3.m4a,data/audio/fr/Fr-speak-3.m4a,16000,2.9213125,0.02600693143904209,181.7736666859488,214.35611005466367,65.35488729144089,162.03061417981922,72
fr_03,French,fr,singing,short,Fr-sing-3.m4a,data/audio/fr/Fr-sing-3.m4a,16000,6.164,0.05314837396144867,294.76080148773434,296.2214693843298,87.95586268238442,321.46126239837247,150
fr_04,French,fr,speech,medium,Fr-speak-4.m4a,data/audio/fr/Fr-speak-4.m4a,16000,4.5426875,0.03030829317867756,221.30664099283214,238.52991146631203,83.22020108549721,254.9310088782309,117
fr_04,French,fr,singing,medium,Fr-sing-4.m4a,data/audio/fr/Fr-sing-4.m4a,16000,7.5293125,0.08867469429969788,311.61665057033525,324.90310714257987,62.59483064156222,119.12065197153873,206
fr_05,French,fr,speech,medium,Fr-speak-5.m4a,data/audio/fr/Fr-speak-5.m4a,16000,4.2013125,0.041686613112688065,214.67315695719256,227.75828324510303,76.58487065039746,219.7848158643966,113
fr_05,French,fr,singing,medium,Fr-sing-5.m4a,data/audio/fr/Fr-sing-5.m4a,16000,7.188,0.05406681448221207,291.0446147936015,325.8414615030442,92.52551866378737,305.9261842702628,198
fr_06,French,fr,speech,medium,Fr-speak-6.m4a,data/audio/fr/Fr-speak-6.m4a,16000,4.4573125,0.04623861238360405,220.3027863993171,230.40470702053787,68.8168241842668,193.2476608477103,123
fr_06,French,fr,singing,medium,Fr-sing-6.m4a,data/audio/fr/Fr-sing-6.m4a,16000,7.6146875,0.08152889460325241,312.22026289217274,335.38934511626763,61.799652433654245,112.96272664956211,213
fr_07,French,fr,speech,long,Fr-speak-7.m4a,data/audio/fr/Fr-speak-7.m4a,16000,5.2253125,0.06288471072912216,245.65625637618547,255.6500291307247,71.25861939770407,239.3796819008326,140
fr_07,French,fr,singing,long,Fr-sing-7.m4a,data/audio/fr/Fr-sing-7.m4a,16000,7.956,0.08961627632379532,309.1286577879817,311.12698372208087,68.83822914054396,139.41920886529124,231
fr_08,French,fr,speech,long,Fr-speak-8.m4a,data/audio/fr/Fr-speak-8.m4a,16000,5.2253125,0.061352141201496124,252.9948893933797,267.74077300753,88.13067415631676,264.16140385262884,140
fr_08,French,fr,singing,long,Fr-sing-8.m4a,data/audio/fr/Fr-sing-8.m4a,16000,8.0413125,0.08469726890325546,307.3435046246985,320.24370022528115,67.02770004143011,144.4552680456661,241
fr_09,French,fr,speech,long,Fr-speak-9.m4a,data/audio/fr/Fr-speak-9.m4a,16000,5.396,0.059714339673519135,276.19814444129224,298.8029223214844,94.48317087193864,273.7796406131437,136
fr_09,French,fr,singing,long,Fr-sing-9.m4a,data/audio/fr/Fr-sing-9.m4a,16000,8.2973125,0.11095884442329407,299.8774741201389,329.6275569128699,88.84990775719369,306.16426894432834,251
